DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBILIDAD,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,"PERIODICIDAD DE 
 DIFUSIÓN",ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,OBSERVACIONES,CONSULTADO EN
ESTADÍSTICA DE MOVIMIENTO DE CARGA POR TRAFICO PORTUARIO EN COLOMBIA,COLOMBIA,,,SECTOR PÚBLICO,SUPERINTENDENCIA DE PUERTOS Y TRANSPORTE,REGISTRO ADMINISTRATIVO,Generar información estadística relacionada con el movimiento de carga en puertos colombianos y el tráfico portuario registrado en el país,,,,Identificación de la sociedad portuaria*número de identificación tributaria nit*código del puerto*número del puesto de atraque*fecha de arribo de nave*fecha de zarpe*letra de llamada de la nave*número de identificación tributaria nit del naviero*número de identificación tributaria nit del operador*número detalle*clave utilizada por la sociedad portuaria*fecha de la última actualización*número de detalle*código del tráfico*código del tipo de carga*código del grupo*código del producto*código origen destino* código embalaje*unidades en contenedor*código clase de carga*código cargue*código país*código tonelaje,Total toneladas trafico portuario mes y año*Total toneladas trafico portuario por tipo de carga mes y año*Trafico portuaria por zona portuaria y sociedades portuarias*Principales productos importados y exportados*Trafico portuario * según origen destino de la carga*número de arribos por zona portuaria y por sociedad portuaria*Unidad de contenedores por trafico portuario,Nacional,,,,,"Anual 
 mensual",,,"agencia nacional de infraestructura (ani)
 cormagdalena
 comision colombiana del oceano
 comisión económica para américa latina y el caribe (cepal)
 camaras de comercio
 secretaria general de la comunidad andina
 ministerio de transporte
 departamento nacional de planeacion (dnp)
 banco de la republica
 consultores
 universidades",,
ESTADÍSTICA DE TIEMPOS PROCESALES,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,CONSEJO SUPERIOR DE LA JUDICATURA (CSJ),ENCUESTA POR MUESTREO,"Generar estadísticas para el seguimiento del tiempo promedio de duración de los procesos judiciales en las jurisdicciones ordinarias y sus especialidades (penal, civil, laboral, familia y de menores; disciplinaria y contencioso administrativo)",,,,Decisión o juzgamiento por sentencia en primera o única instancia*decisión o juzgamiento por sentencia segunda*cantidad de obstáculos*jurisdicción disciplinaria*juzgamiento por sentencia en segunda instancia*sujeto procesal*tipo de despacho y tiempo promedio (días calendario) por(clase de proceso*por etapa procesal*por tipo de proceso*por tipo de terminación del proceso*por jurisdicción y global general,Tiempo Excedente en Gestión:*Tiempos Calendario de tramite procesal por tipo procesal i*Tiempos normativos por tipo procesal i*Variación por periodos del tiempo procesal*Tiempo procesal calendario en el periodo n por tipo procesal i/Tiempo procesal calendario en el periodo n-1 por tipo procesal i,Nacional,,,,,Anual,,,"ExternosS 
 -Departamento Nacional de Planeación * Ministerio de Justicia * Banca Multilateral * Cancilleria.
 ONGs Nacionales e Internacionales 
 Academia 
 Internos 
 -Escuela Judicial Rodrigo Lara Bonilla * area academica.
 - Unidad de Desarrollo y Analisis Estadistico * area reordenamiento y descongestion * 
 - Unidad de Administracion de Carrera. area de incentivos
 Unidad de Infraestructura Fisica
 Unidad de Informatica 
 _Sala Administrativa CSJ para toma de decisiones .Plan de Desarrollo",,
ESTADÍSTICA SOBRE AGREGADOS MONETARIOS,COLOMBIA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,REGISTRO ADMINISTRATIVO,"Medir la base monetaria y los medios de pago según su definición ya sea efectivo y depósitos disponibles en bancos comerciales (M1), cuasidineros (M2) o depósitos de más largo plazo y otras obligaciones de las entidades financieras (M3)",,,,Cartera neta*cartera por tipo*efectivo y depósitos disponibles en bancos comerciales (M1)*cuasidineros (M2)*depósitos de más largo plazo y otras obligaciones de las entidades financieras (M3)*reserva bancaria,Agregados Cartera neta*Agregado cartera por tipo*Agregado M1*Agregado M2*Agregado M3*Agregado efectivo*Agregado reserva bancaria,Nacional,SI,XLS,http://www.banrep.gov.co/es/agregados-monetarios-crediticios,23/08/2016,Mensual Semanal,ago.-16,,Ministerio de Hacienda y crédito públicoDNP * público en general,,
ESTADISTICA SOBRE DENUNCIAS POR POSIBLES VIOLACIONES A LAS NORMAS DE PROTECCIÓN DE COMPETENCIA,COLOMBIA,12 PRODUCCIÓN Y CONSUMO RESPONSABLES,,SECTOR PÚBLICO,SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO,REGISTRO ADMINISTRATIVO,Generar estadísticas sobre las denuncias por posible violación de las normas de protección de la competencia,,,,Numero de denuncias que ingresan y se atienden por violación a las normas de practicas comerciales*año de presentación,Número de denuncias por prácticas comerciales restrictivas en preliminar y Número de investigaciones en Prácticas comerciales restrictiva,Nacional,,,,,Anual Mensual Semestral,,,"Abogados estudiantes
 Empresas privadas a nivel de consultas",,
ESTADISTICA SOBRE DENUNCIAS Y DEMANDAS POR POSIBLES VIOLACIONES A LAS NORMAS DE PROTECCIÓN AL CONSUMIDOR,COLOMBIA,12 PRODUCCIÓN Y CONSUMO RESPONSABLES,,SECTOR PÚBLICO,SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO,REGISTRO ADMINISTRATIVO,"Generar estadísticas sobre las denuncias y demandas por posible violación de derechos como consumidor, usuario o suscriptor",,,,Número de denuncias y demandas que ingresan y se atienden por vioalocion a los derechos del Consumidor y Usuario*año de presentación,Número de Denuncias de protección del consumidor en preliminares*número de denuncias de protección al consumidor en Investigaciones.,Nacional,,,,,Anual Mensual Semestral,,,Abogados estudiantes,,
ESTADÍSTICA SOBRE UVR,COLOMBIA,,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,MÚLTIPLES FUENTES,Calcular el valor diario de la UVR desde el día 16 del mes en curso hasta el 15 del siguiente mes,,,,UVR del día 15 del mes en curso*Variación mensual del IPC total nacional},Valores diarios del mes,Nacional,,,,,Diaria,,,Publico general,,
ESTADISTICA SOBRE VACANTES DEL SECTOR PÚBLICO,COLOMBIA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO DE LA FUNCIÓN PÚBLICA (DAFP),CENSO,cuantificar los empleos de carrera que se encuentren en vacancia definitiva,,,,Número de Contratos*Número de Vacantes,Vacantes Definitivas en el orden nacional y territorial,Nacional*Municipal,,,,,Anual,,,"* La misma entidad: Dirección de Empelo Público - Dirección DAFP 
 • Vicepresidencia
 • Ministerio de Justicia
 • Ministerio de Defensa
 • Ministerio del interior
 • Cancillería
 • Ministerio de Hacienda y Crédito Público
 • Ministerio de Minas Y Energía
 • Ministerio de Comercio
 • Min de Tecnologías de la Información y las Comunicaciones TIC
 • Ministerio de Cultura
 • Ministerio de Agricultura
 • Ministerio de Ambiente
 • Ministerio de Transporte
 • Ministerio de Vivienda
 • Ministerio de Educación
 • Ministerio de Trabajo
 • Ministerio de Salud
 • Departamento Nacional de Planeación DNP
 • Departamento Administrativo Nacional de Estadística DANE
 • Departamento de la Prosperidad Social
 • Policía Nacional
 • El Departamento Administrativo del Deporte * la Recreación * la Actividad Física y el Aprovechamiento del Tiempo Libre – COLDEPORTES - 
 • Departamento Administrativo de Ciencia * Tecnología e Innovación * Colciencias
 • Procuraduría General de la Nación
 • Contraloría General de la Republica
 • Escuela Superior de Administración Pública
 • Colombia Compra Eficiente
 • Portal Gobierno en Línea
 * Público en General
 * Academía",,
ESTADÍSTICA VITALES (EEVV),COLOMBIA,3 SALUD Y BIENESTAR,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),REGISTRO ADMINISTRATIVO,"Producir la información estadística de los nacimientos y las defunciones, ocurridos en el
 Territorio Nacional",,,,Nacimientos y Defunciones,Nacimientos*Defunciones fetales*Defunciones no fetales,Nacional*Departamental*Municipal,SI,,http://formularios.dane.gov.co/Anda_4_1/index.php/catalog/377,11/08/2016,Cuatrienal,2013,,Direcciones técnicas y direcciones territoriales del DANE * Ministerio de Salud * Departamento Nacional de Planeación DNP * Instituto Nacional de Salud INS * Direcciones Departamentales y Distritales de Salud * Organización Panamericana de la Salud - OMS/OPS.,,
ESTADÍSTICAS A PARTIR DE AVISOS A LOS NAVEGANTES,COLOMBIA,,,SECTOR PÚBLICO,DIRECCIÓN GENERAL MARÍTIMA (DIMAR),REGISTRO ADMINISTRATIVO,Suministrar información sobre la seguridad de la navegación por medio de avisos a los navegantes emitidos por Dirección General Marítima,,,,Número de aviso*Fecha de aviso*zona geográfica*tipo,número de avisos a los navegantes emitidos por periodo de tiempo,Nacional*Regional,,,,,Semestral,,,"-ministerio de transporte
 -ministerio de comercio * industria y turismo
  -alcaldías municipales
 -gobernaciones
 -departamentos costeros
 -agencia nacional de infraestructura (ani)
 -departamento nacional de planeacion (dnp)
 -consultores en general
 -gremio marítimo
 -sociedades portuarias
 -navieras
 -empresas de transporte
 -cormagdalena
 -veleros
 -clubes náuticos
 -empresas de actividad pesquera",,
ESTADÍSTICAS A PARTIR DE LA DISPONIBILIDAD DE AYUDAS A LA NAVEGACIÓN PARA PRESTAR SERVICIOS,COLOMBIA,,,SECTOR PÚBLICO,DIRECCIÓN GENERAL MARÍTIMA (DIMAR),REGISTRO ADMINISTRATIVO,"Conocer la disponibilidad de las ayudas a la navegación en puertos públicos nacionales (faros, boyas, balizas, enfilaciones y señal especial)",,,,Ubicación geográfica*fecha de instalación*estado de la ayuda*horas disponibles mensuales* tipo de ayuda de navegación,Indicador de disponibilidad de las ayudas * cantidad de ayuda de navegación por desagregación geográfica,Nacional*Regional,,,,,Semestral,,,"-instituto de hidrología * meteorología y estudios ambientales (ideam)
 -sociedades portuarias
 -navieras
 -ministerio de comercio * industria y turismo 
 -ministerio de transporte
 -cormagdalena
 -veleros
 -clubes náuticos
 -empresas de actividad pesquera",,
ESTADISTICAS DE EMISIÓN DE ALERTAS SANITARIAS,COLOMBIA,3 SALUD Y BIENESTAR,,SECTOR PÚBLICO,INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS (INVIMA),REGISTRO ADMINISTRATIVO,"Consolidar la información de alertas sanitarias de alimentos; medicamentos, dispositivos y cosméticos",,,,Categoría farmacológica*mes y fecha de reporte*agencia sanitaria o laboratorio que emite la alerta*nombre del medicamento*alerta generada*link de la agencia,Comunicados de Alertas sanitaria (Comunicados donde se le informa sobre una situación de riesgo potencial para la salud de la población o de trascendencia social),Nacional,,,,,No aplica,,,Entidades Internacionales (Entes homologos al INVIMA de otros paises); Min. Salud y Protección Social; Público en General (Ciudadania),,
ESTADÍSTICAS DE ACCIDENTES DE TRÁNSITO,COLOMBIA,,,SECTOR PÚBLICO,MINISTERIO DE TRANSPORTE,REGISTRO ADMINISTRATIVO,"Generar información estadística sobre la accidentalidad, las causas probables, los puntos críticos, con el fin de diseñar políticas que disminuyan la accidentalidad vial en Colombia y generar normas preventivas.",,,,Gravedad*tipo de accidente*clase de accidente*localidad*hipótesis*fecha,Accidentes relacionados con alcohol*cantidad de heridos,Municipal*Localidad,,,,,Anual,,,"-Policía Nacional
 -Ministerio de salud
 -Ministerio de Trasnporte
 -Público en general",,
ESTADÍSTICAS DE ACCIDENTES DE TRÁNSITO EN CARRETERAS NACIONALES,COLOMBIA,,,SECTOR PÚBLICO,POLICÍA NACIONAL DE COLOMBIA,REGISTRO ADMINISTRATIVO,"Realizar la medición estadística y análisis de los accidentes con victimas y solo daños, para promover la reducción de las accidentalidad vial",,,,Datos ubicación*clase de accidente (choque*atropello*volcamiento*caída de ocupante*incendio*otro)*choque con (vehículo*tren semoviente*objeto fijo)*clase de objeto fijo*Características del lugar (área*sector*zona*diseño*condición climática)*características de la vía*gravedad victima*condición victima*sexo*nacionalidad*edad*profesión*nivel académico*clase de vehículo*clase de servicio*modalidad de transporte*radio de acción*tiempo cronológico*hipótesis,Accidentalidad nacional muertes y lesionados*Principales ciudades en accidentalidad*accidentalidad interna de policía nacional*tasa de muertes por 100000 habitantes*tasa de lesionados por 100000 habitantes,Nacional*Regional*Área metropolitana*Departamental*Municipal,,,,,Anual,,,"-Policia Nacional de Colombia (DITRA)
 -Academia
 -Presidencia y Vicepresidencia de la Republica
 -Congreso de la Republica",,
ESTADÍSTICAS DE ADOLESCENTES QUE REINCIDEN EN LA COMISIÓN DE DELITOS,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),REGISTRO ADMINISTRATIVO,"Llevar estadísticas sobre el comportamiento delictivo de los adolescentes, delitos de mayor reincidencia que ingresan al sistema de responsabilidad penal para adolescentes",,,,número Adolescentes*Sexo*Edad*Municipio de procedencia*Delito*Actuaciones,número de Adolescentes entre 14 y 17 años que reinciden al Sistema de responsabilidad penal adolescente,Nacional*Regional*Departamental*Municipal,,,,,Mensual,,,"Departamentoa Administrativo Nacional de Estadística -DANE - ICBF - Instituto Colombiano de Medicina Legal * Ministerio de Educación Nacional * Ministerio de Salud y Protección social * Policia Nacional * Unidad para la Atención y Reparación Integral a las Victimas * Registraduría Nacional del Estado Civil
 comunidad académica y científica * sociedad civil.",,
ESTADÍSTICAS DE ASPIRANTES A DOCTORES APOYADOS POR COLCIENCIAS,COLOMBIA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,"DEPARTAMENTO ADMINISTRATIVO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN (COLCIENCIAS)",REGISTRO ADMINISTRATIVO,Contar con la información de las personas que participan en las convocatorias de Colciencias para apoyos de formación avanzada en doctorados nacionales y en el exterior,,,,Nombre completo*Género*Fecha de nacimiento*Institución de estudios*Programa doctoral*Área de conocimiento en CT+i de COLCIENCIAS*Nivel de formación al aplicar a la convocatoria*Título de tesis*Línea de investigación*Fecha de inicio y finalización del programa*Duración en semestres*departamento de residencia*País de estudios de doctorado*Programa nacional de Ciencia*tecnología e innovación*Departamento de origen del participante*departamento de la institución que avala los estudios*estado(aceptado o no aceptado),Alecol 2009-2012*Beneficiarios de becas doctorado nacional/exterior por Pacte por entidad territorial 2012*Beneficiarios doctorados nacional convocatoria 2012*Beneficiarios doctorados exterior convocatoria 2012*Beneficiarios doctorados exterior Colciencias-Colfuturo 2012*Beneficiarios maestría exterior Colciencias-Colfuturo 2012*Beneficiarios becas doctorados Colciencias 2012 por departamento y Pacte*Beneficiarios becas maestrías Colciencias-Colfuturo 2012 por departamento y Pacte*Becas doctorados Colciencias por Región regalías y entidad territorial 2009-2012*Becas convocatoria Colciencias exterior * Colciencias-Colfuturo doctorados y maestrías por país de destino 2011-2012*Beneficiarios becas doctorados * cobertura y variación 2009-2012*Colciencias*Fulbrigh La información va a 2014,Nacional*Departamental*Municipal,,,,,Anual,,,Internos (otros funcionarios de la institución) * Universidades * Institutos de investigación * organismos multilaterales * DNP * investigadores * demás actores del Sistema,,
ESTADÍSTICAS DE BENEFICIARIOS DE LA RED DE SEGURIDAD ALIMENTARIA (RESA),COLOMBIA,2 HAMBRE CERO,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL (DPS),REGISTRO ADMINISTRATIVO,Contar con la caracterización poblacional de los usuarios del programa Red de Seguridad Alimentaria.,,,,Departamento*Municipio*Numero convenio*Código proyecto*Líneas de intervención*Inversión DPS*Cofinanciación*Grupo étnico*Primer Nombre*Segundo Nombre*Primer Apellido*Segundo Apellido*Fecha de nacimiento*Genero*Tipo de documento*Número de documento*Parentesco*Familia*Dirección*Teléfono*Barrio / Vereda,número de Beneficiarios*Inversión realizada,Nacional*Regional*Departamental*Municipal,,,,,Anual Cuatrienal Mensual,,,"*DPS
 - Sector Inclusión Social y Reconciliación (Instituto Colombiano de Bienestar Familiar * Agencia Nacional para la Superación de la Pobreza Extrema * Unidad para la Atención y Reparación Integral a las Víctimas * Centro de Memoria Historica * Unidad Administrativa Especial para la Consolidación Territorial)
 - Presidencia de la República
 - Ministerios
 - Departamentos Administrativos
 - Público en General",,
